ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,Historical Wards 2003-2015
13050,LPG,AmeriGas,700 County Highway H,Route 12 exit,Elkhorn,WI,53121,,262-723-7410,E,,Private - Fleet customers only,Contact AmeriGas to set up fueling arrangements,,,,,,,,,,,200-9,42.660919,-88.522923,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,05/11/1999,,,false,,"(42.660919, -88.522923)",,,12099,,,
19794,LPG,U-Haul,1861 US Route 41,South of Route 30,Schererville,IN,46375,,219-322-2043,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash Checks D M V,,,,,,,,,,200-9,41.488621,-87.470114,02/13/2023,02/14/2023 09:54:11 AM +0000,P,,,11/01/2000,,,true,,"(41.488621, -87.470114)",,,21994,,,
19916,LPG,U-Haul,1560 Mount Prospect Rd,"Corner of Oakton and Mt. Prospect, between 83 and Manheim",Des Plaines,IL,60018,,847-298-1170,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,42.02364882070916,-87.92126835581973,02/13/2023,02/14/2023 09:54:11 AM +0000,P,,,11/01/2000,,,true,,"(42.02364882070916, -87.92126835581973)",,,16197,,,
19918,LPG,U-Haul,2125 Dempster St,Between Dodge and McCormick,Evanston,IL,60201,,847-864-8877,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,42.041376,-87.703147,02/13/2023,02/14/2023 09:54:11 AM +0000,P,,,11/01/2000,,,false,,"(42.041376, -87.703147)",,,26293,,,
19919,LPG,U-Haul,2915 W 159th St,,Markham,IL,60428,,708-333-7840,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,41.600255,-87.688178,02/13/2023,02/14/2023 09:54:11 AM +0000,P,,,11/01/2000,,,true,,"(41.600255, -87.688178)",,,9296,,,
19920,LPG,U-Haul,4650 W 95th St,East of Cicero Ave,Oak Lawn,IL,60453,,708-422-2332,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,41.720593,-87.737454,02/13/2023,02/14/2023 09:54:11 AM +0000,P,,,11/01/2000,,,true,,"(41.720593, -87.737454)",,,10408,,,
19924,LPG,U-Haul,1700 N Cicero Ave,Between North and Grand,Chicago,IL,60639,,773-889-8194,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,41.911872,-87.746203,02/13/2023,02/14/2023 09:54:11 AM +0000,P,,,11/01/2000,,,true,,"(41.911872, -87.746203)",2,26,22615,523,45,4
19925,LPG,U-Haul,4301 N Cicero Ave,,Chicago,IL,60641,,773-286-4507,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 8am-6pm Sun",A Cash D M V,,,,,,,,,,200-8,41.958921,-87.74721,02/13/2023,02/14/2023 09:54:11 AM +0000,P,,,11/01/2000,,,true,,"(41.958921, -87.74721)",21,15,22618,139,50,20
19926,LPG,U-Haul,1650 E 71st St,At Stoney Island,Chicago,IL,60649,,773-493-1206  708-389-0852,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-8,41.766351,-87.583615,02/13/2023,02/14/2023 09:54:11 AM +0000,P,,,11/01/2000,,,true,,"(41.766351, -87.583615)",24,39,22538,381,33,32
19927,LPG,U-Haul,5027 W Cermak Rd,West of Cicero Ave before Laramie,Cicero,IL,60804,,708-656-8890,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,41.850832,-87.750927,02/13/2023,02/14/2023 09:54:11 AM +0000,P,,,11/01/2000,,,true,,"(41.850832, -87.750927)",,,4458,,,
20844,E85,Citgo,4070 N Clark St,,Chicago,IL,60613,,773-528-3040,E,,Public,24 hours daily,A Cash D Debit M V Wright_Exp,,,,,,,,,,200-9,41.956159,-87.663596,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,08/15/2000,,,,false,"(41.956159, -87.663596)",53,57,21186,650,18,13
21197,LPG,Hicksgas,415 S Division St,,Braidwood,IL,60408,,815-458-2373,E,,Public - Call ahead,8am-5pm M-F,Cash Checks D M V,,,,,,,,,,200-9,41.25572,-88.226144,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,01/11/2002,,,false,,"(41.25572, -88.226144)",,,26887,,,
21205,LPG,Hicksgas,1625 S Schuyler Ave,,Kankakee,IL,60901,,815-933-4464,E,,Public - Call ahead,"8am-5pm M-F, 8am-12pm Sat",Cash D M V,,,,,,,,,,200-9,41.101504,-87.869992,09/14/2022,02/14/2023 09:54:11 AM +0000,P,,,01/11/2002,,,false,,"(41.101504, -87.869992)",,,4461,,,
21207,LPG,Hicksgas,200 E Grand Ave,Next to tracks,Lake Villa,IL,60046,,847-356-8225,E,,Public - Call ahead,8am-12pm Sat,Cash D M V,,,,,,,,,,200-9,42.416937,-88.078716,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,09/23/2019,,,false,,"(42.416937, -88.078716)",,,17024,,,
21216,LPG,Hicksgas,1705 N McKinley Ave,,Rensselaer,IN,47978,,219-866-7322,E,,Public - Call ahead,8am-5pm M-F,Cash D M V,,,,,,,,,,200-9,40.952621,-87.150883,09/14/2022,02/14/2023 09:54:11 AM +0000,P,,,01/11/2002,,,false,,"(40.952621, -87.150883)",,,17890,,,
21224,LPG,Hicksgas,1023 Lake Ave,"Northeast corner, at Route 47",Woodstock,IL,60098,,815-338-1296,E,,Public - Call ahead,"8am-5pm M-F, 8am-12pm Sat",Cash D M V,,,,,,,,,,200-8,42.302938,-88.431897,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,01/11/2002,,,false,,"(42.302938, -88.431897)",,,9870,,,
23236,CNG,Village of Downers Grove,5101 Walnut Ave,Walnut Ave and Curtis St.,Downers Grove,IL,60515,,,E,,Private - Fleet customers only,Call 630-434-5509 to set up fueling account,,,Q,3600,,,,,,,200-9,41.793467,-88.051732,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,01/01/2001,,HD,,,"(41.793467, -88.051732)",,,3116,,,
26878,E85,Argonne National Laboratory,9700 S. Cass Avenue,,Lemont,IL,60439,,,E,,Private,DOE fleet use only,,,,,,,,,,,GPS,41.71298,-87.960781,07/12/2022,02/14/2023 09:54:11 AM +0000,FG,8,U.S. Department of Energy,04/15/2005,,,,false,"(41.71298, -87.960781)",,,9707,,,
26880,E85,Naval Station Great Lakes,2415 Spaulding St,,Great Lakes,IL,60088,,,E,,Private - Government only,,,,,,,,,,,,200-8,42.317212,-87.851241,07/12/2022,05/30/2023 01:46:28 PM +0000,FG,14,Department of Navy,04/15/2005,,,,false,"(42.317212, -87.851241)",,,18092,,,
28307,E85,Speedway #1417,4032 US Highway 34,,Oswego,IL,60543,,630-551-3310,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,41.687679,-88.338486,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,06/15/2005,,,,false,"(41.687679, -88.338486)",,,6525,,,
28637,E85,Thorntons #125,2800 Ogden Ave,,Aurora,IL,60504,,630-820-6468,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,41.741088,-88.246494,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,07/15/2006,,,,true,"(41.741088, -88.246494)",,,3098,,,
28770,E85,Speedway #1419,15060 S Bell Rd,,Homer Glen,IL,60491,,708-301-2388,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,41.614843,-87.931122,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,12/15/2005,,,,false,"(41.614843, -87.931122)",,,2731,,,
29671,E85,Shell,750 E Higgins Rd,,Schaumburg,IL,60173,,847-843-2424,E,,Public,24 hours daily,A Cash D Debit M V Wright_Exp,,,,,,,,,,200-8,42.04152,-88.06058,11/10/2022,09/01/2023 04:34:39 PM +0000,P,,,06/15/2005,,,,false,"(42.04152, -88.06058)",,,16177,,,
30397,E85,Woodman's Grocery,151 Hansen Blvd,,North Aurora,IL,60542,,630-723-3900  877-798-3752,T,10/23/2023,TEMPORARILY UNAVAILABLE (Public - Credit card after hours),7:15am-7:40pm M-Sun,Cash Checks D Debit,,,,,,,,,,200-8,41.804458,-88.371594,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,01/15/2007,,,,false,"(41.804458, -88.371594)",,,6522,,,
30753,E85,Meijer Gas #170,10240 Indianapolis Blvd,,Highland,IN,46322,,219-934-2129,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,GPS,41.5280837,-87.4712663,08/10/2023,08/10/2023 11:58:49 AM +0000,P,,,02/15/2007,,,,false,"(41.5280837, -87.4712663)",,,21644,,,
30760,E85,Meijer Gas #165,505 W Lincoln Hwy,,Merrillville,IN,46410,,219-650-3729,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,41.470147,-87.343218,08/10/2023,08/10/2023 11:58:49 AM +0000,P,,,01/15/2007,,,,false,"(41.470147, -87.343218)",,,22363,,,
30935,E85,Family Express - Valpo Market Place,204 Silhavy Rd,,Valparaiso,IN,46383,,219-477-1858,E,,Public,5am-12am daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,41.46991,-87.02663,11/10/2022,09/20/2023 04:02:24 PM +0000,P,,,11/15/2006,,,,true,"(41.46991, -87.02663)",,,22000,,,
30976,E85,Family Express - Hobart County Line Rd,9521 E Ridge Rd,,Hobart,IN,46342,,219-942-4978,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,41.55013,-87.22215,11/10/2022,09/14/2023 10:57:07 AM +0000,P,,,03/15/2007,,,,false,"(41.55013, -87.22215)",,,21650,,,
30978,E85,Family Express - Kersey,5449 W State Route 10,,Wheatfield,IN,46392,,219-987-4484,E,,Public,5am-10pm daily,A Cash CREDIT D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,41.1873,-87.15016,11/10/2022,09/20/2023 04:02:24 PM +0000,P,,,04/15/2007,,,,false,"(41.1873, -87.15016)",,,22004,,,
31669,E85,Family Express - Kouts,104 S Main St,At corner of State Road 49 and 8,Kouts,IN,46347,,219-766-2711,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,41.31793,-87.02621,11/10/2022,09/20/2023 04:02:24 PM +0000,P,,,05/15/2007,,,,false,"(41.31793, -87.02621)",,,21653,,,
31671,E85,Family Express - Ameriplex,6250 Ameriplex Dr,,Portage,IN,46368,,219-764-3014,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,41.608,-87.17261,11/10/2022,09/20/2023 04:02:24 PM +0000,P,,,04/15/2007,,,,false,"(41.608, -87.17261)",,,21990,,,
31704,E85,Family Express - Chesterton,1681 Pioneer Trail,,Chesterton,IN,46304,,219-395-8804,E,,Public,4:30am-11pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,41.59415,-87.04261,11/10/2022,09/20/2023 04:02:24 PM +0000,P,,,05/15/2007,,,,true,"(41.59415, -87.04261)",,,16792,,,
32368,E85,Shell - Circle K,220 W Virginia St,At the corner of W Virginia and Keith,Crystal Lake,IL,60014,,815-459-7807,E,,Public,24 hours daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,42.22776,-88.32859,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,06/15/2007,,,,false,"(42.22776, -88.32859)",,,4580,,,
32567,E85,Family Express - Winfield,8010 E 109th Ave,Corner of 109th and Randolph,Crown Point,IN,46307,,219-662-0686,E,,Public,24 hours daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,41.42076,-87.23836,11/10/2022,09/20/2023 04:02:24 PM +0000,P,,,03/15/2007,,,,true,"(41.42076, -87.23836)",,,21637,,,
32569,E85,Family Express - Remington Interstate,4179 W US Highway 24,,Remington,IN,47977,,219-261-2788,E,,Public,5am-12am daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,40.76518,-87.12497,11/10/2022,09/20/2023 04:02:24 PM +0000,P,,,01/27/2020,,,,false,"(40.76518, -87.12497)",,,17889,,,
32648,E85,Citgo - Aisha Wash and Fuel Island,5549 W Diversey Ave,,Chicago,IL,60639,,773-889-0241,E,,Public,24 hours daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-9,41.930943,-87.765779,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,09/15/2007,,,,false,"(41.930943, -87.765779)",2,19,22615,79,21,27
32958,E85,Mobil - North Damen Mart,2801 N Damen Ave,,Chicago,IL,60618,,773-528-0461,T,04/19/2023,TEMPORARILY UNAVAILABLE (Public - Credit card at all times),24 hours daily,A D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,41.932702,-87.67812,01/10/2023,02/14/2023 09:54:11 AM +0000,P,,,03/15/2008,,,,false,"(41.932702, -87.67812)",22,46,21538,649,40,16
33072,E85,Mobil - Midway,8145 S Pulaski,,Chicago,IL,60652,,773-585-8912,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,41.744262,-87.72134,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,05/15/2008,,,,false,"(41.744262, -87.72134)",8,69,4300,199,30,6
33084,E85,City of Chicago FS#6,10101 S Stoney Island,101st and Stony Island,Chicago,IL,60617,,,E,,Private - Government only,,,,,,,,,,,,200-9,41.710606,-87.623157,09/14/2023,09/14/2023 09:01:49 AM +0000,LG,,,06/15/2008,,,,false,"(41.710606, -87.623157)",19,45,21861,570,43,30
33085,E85,City of Chicago FS#5,4833 W Sunnyside Ave,Sunnyside and Lamon,Chicago,IL,60630,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.962551,-87.748808,09/14/2023,09/14/2023 09:01:49 AM +0000,LG,,,06/15/2008,,,,false,"(41.962551, -87.748808)",48,15,21869,259,50,20
33086,E85,City of Chicago FS#3,4233 W Ferdinand,Ferdinand and Tripp,Chicago,IL,60624,,,E,,Private - Government only,,,,,,,,,,,,200-9,41.889066,-87.732603,09/14/2023,09/14/2023 09:01:49 AM +0000,LG,,,06/15/2008,,,,false,"(41.889066, -87.732603)",30,24,21572,99,23,11
33087,E85,City of Chicago FS#9,25 W 65th St,65th and State,Chicago,IL,60621,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.776439,-87.625954,09/14/2023,09/14/2023 09:01:49 AM +0000,LG,,,03/15/2010,,,,false,"(41.776439, -87.625954)",11,67,21559,122,4,53
33088,E85,City of Chicago FS#7,10000 W Montrose Ave,O'Hare Airport,Chicago,IL,60666,,,E,,Private - Government only,,,,,,,,,,,,GPS,41.95940310555005,-87.83946993386843,09/14/2023,09/14/2023 09:01:49 AM +0000,LG,,,06/15/2008,,,,false,"(41.95940310555005, -87.83946993386843)",31,75,4448,130,19,39
33089,E85,City of Chicago FS#4,3746 S Iron,Iron and 37th,Chicago,IL,60609,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.826171,-87.659383,09/14/2023,09/14/2023 09:01:49 AM +0000,LG,,,10/15/2008,,,,false,"(41.826171, -87.659383)",37,56,14924,721,48,26
33144,CNG,City of Chicago FS#9,25 W 65th St,65th and State,Chicago,IL,60621,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.776439,-87.625954,09/14/2023,09/14/2023 09:01:49 AM +0000,LG,,,07/15/2008,,HD,,,"(41.776439, -87.625954)",11,67,21559,122,4,53
33246,E85,Shell - Gages Lake,33978 N US 45,,Gages Lake,IL,60030,,847-223-9033,E,,Public - Credit card after hours,6am-9pm daily,A Cash D Debit M V Wright_Exp,,,,,,,,,,GPS,42.356644,-88.003008,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,07/15/2008,,,,false,"(42.356644, -88.003008)",,,16627,,,
33497,E85,Family Express #34 - Roselawn,11880 W State Route 10,"I-65, Exit 230",De Montte,IN,46310,,219-345-4100,E,,Public,4am-11pm daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,41.14482,-87.27383,11/10/2022,09/20/2023 04:02:24 PM +0000,P,,,09/01/2008,,,,false,"(41.14482, -87.27383)",,,21638,,,
33534,CNG,Village of Homewood,17755 Ashland Ave,,Homewood,IL,60430,,,E,,Private - Government only,,,,B,3600,,,,,,,200-9,41.564817,-87.650402,01/10/2023,05/30/2023 01:46:28 PM +0000,LG,,,10/01/2001,,MD,,,"(41.564817, -87.650402)",,,9301,,,
33536,CNG,Village of Oak Park,201 South Blvd,,Oak Park,IL,60302,,,T,03/09/2024,TEMPORARILY UNAVAILABLE (Private - Government only),,,,Q,3600,,,,,,,200-8,41.887059,-87.780595,09/14/2023,09/14/2023 09:01:49 AM +0000,LG,,,03/09/2023,,MD,,,"(41.887059, -87.780595)",,,26615,,,
33571,LPG,Forest Preserve District of DuPage County,29 W 220 Mack Rd,,West Chicago,IL,60185,,,E,,Private - Government only,,,,,,,,,,,,GPS,41.8421803,-88.18570235767208,09/14/2023,09/14/2023 09:01:49 AM +0000,LG,,,12/18/2008,,,,,"(41.8421803, -88.18570235767208)",,,15279,,,
33777,E85,Shell - East Dundee,1097 E Main St,,East Dundee,IL,60118,,847-428-4205,E,,Public - Credit card after hours,5am-12am daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,42.088071,-88.244838,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,01/01/2007,,,,false,"(42.088071, -88.244838)",,,15589,,,
33934,E85,Mobil - Lisle,5500 S Lincoln,,Lisle,IL,60532,,630-963-2810,E,,Public - Credit card after hours,5am-11pm daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,GPS,41.78648498972133,-88.07452908465575,09/14/2023,09/14/2023 09:01:49 AM +0000,P,,,12/23/2008,,,,false,"(41.78648498972133, -88.07452908465575)",,,6088,,,
35095,E85,Kwik Trip #485,6 W Hidden Trail,"Pump 17 and 18, on Hwy 67/12, right in front of Hampton Inn, to right of McDonald's",Elkhorn,WI,53121,,262-723-7179,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY Cash Checks CREDIT D M V Voyager Wright_Exp,,,,,,,,,,GPS,42.694575,-88.54249,05/03/2023,05/03/2023 03:36:28 PM +0000,P,,,10/22/2009,,,,false,"(42.694575, -88.54249)",,,12099,,,
35533,E85,Power Mart,572 W Lake St,,Elmhurst,IL,60126,,630-592-4599,E,,Public,"5:30am-11pm M-F, 7am-12am Sat, 7am-10pm Sun",A Cash D M V,,,,,,,,,,200-9,41.919913,-87.958905,08/10/2023,08/10/2023 11:58:49 AM +0000,P,,,10/15/2017,,,,false,"(41.919913, -87.958905)",,,15603,,,
35708,E85,Family Express - Rensselaer Interstate,8805 W State Rd 114,"Off I-65, exit 215",Rensselaer,IN,47978,,219-866-8444,E,,Public,24 hours daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,40.94046,-87.21496,11/10/2022,09/14/2023 03:21:29 PM +0000,P,,,06/15/2010,,,,false,"(40.94046, -87.21496)",,,17890,,,
35709,E85,Family Express - South Haven East,298 W US 6,,Valparaiso,IN,46385,,219-762-2667,E,,Public,4am-11pm daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,41.54981,-87.12368,11/10/2022,09/14/2023 03:23:32 PM +0000,P,,,06/15/2005,,,,false,"(41.54981, -87.12368)",,,22001,,,
35710,E85,Family Express - Valpo 130,252 W State Rd 130,,Valparaiso,IN,46383,,219-531-6490,E,,Public,24 hours daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-9,41.492006,-87.114922,11/10/2022,09/20/2023 04:02:24 PM +0000,P,,,06/15/2010,,,,false,"(41.492006, -87.114922)",,,22001,,,
35711,E85,Family Express - Valpo Burlington Beach,1901 Burlington Beach Rd,,Valparaiso,IN,46383,,219-462-9797,E,,Public,4am-12am daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,41.50745,-87.03799,11/10/2022,09/14/2023 03:24:54 PM +0000,P,,,06/15/2010,,,,true,"(41.50745, -87.03799)",,,22000,,,
