ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,Location
253298,ELEC,JNS / WAL IRVING PK 2,2301 W Irving Park Rd,,Chicago,IL,60618,,888-998-2546,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.9537,-87.686411,10/04/2023,10/03/2023 07:02:40 PM +0000,,,,12/13/2022,,,,,"(41.9537, -87.686411)"
189752,ELEC,STERLING BAY GREEN STREET 2,333 N Green St,,Chicago,IL,60607,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.888024,-87.648604,10/05/2023,10/04/2023 07:24:33 PM +0000,,,,05/16/2021,,,,,"(41.888024, -87.648604)"
205431,ELEC,Cityfront Place Parking Garage - 3rd Floor Left,400 N. McClurg Court,Located in the 3rd floor of the parking garage on the south side of the elevators. This is the left charging station.,Chicago,IL,60611,,800-663-5633,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.8891899,-87.6181012,10/04/2023,10/03/2023 07:07:23 PM +0000,,,,12/22/2021,,,,,"(41.8891899, -87.6181012)"
309245,ELEC,2352 S Ashland Ave,2352 South Ashland Avenue,,Chicago,IL,60608,,888-998-2546,E,,Public,24 hours daily,,,,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,41.84956127704004,-87.66639500626839,10/04/2023,10/03/2023 07:00:25 PM +0000,,,,07/20/2023,,,,,"(41.84956127704004, -87.66639500626839)"
180619,ELEC,PEOPLES GAS EV16,4025 W Peterson Ave North Shop,,Chicago,IL,60646,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.989433,-87.730298,10/05/2023,10/04/2023 07:22:40 PM +0000,,,,01/27/2021,,,,,"(41.989433, -87.730298)"
183397,ELEC,SOLSTICE APTS EV STATION 02,1616 E 56th St,,Chicago,IL,60637,,888-758-4389,E,,Public,Mon 8:00am - 9:00pm; Tue 8:00am - 9:00pm; Wed 8:00am - 9:00pm; Thu 8:00am - 9:00pm; Fri 8:00am - 9:00pm; Sat 8:00am - 9:00pm; Sun 8:00am - 9:00pm,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.793733,-87.586153,10/05/2023,10/04/2023 07:28:48 PM +0000,,,,01/27/2021,,,,,"(41.793733, -87.586153)"
151875,ELEC,AMC CLASSIC Galewood Crossings 14,5530 W Homer St,,Chicago,IL,60639,,888-264-2208,E,,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,,,,4,,,Volta,https://voltacharging.com/,GPS,41.91551575,-87.764428,10/05/2023,10/04/2023 08:05:07 PM +0000,,,,11/01/2019,,,,,"(41.91551575, -87.764428)"
189753,ELEC,STERLING BAY GREEN STREET 1,333 N Green St,,Chicago,IL,60607,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.888024,-87.648561,10/05/2023,10/04/2023 07:24:33 PM +0000,,,,05/16/2021,,,,,"(41.888024, -87.648561)"
62312,CNG,Ozinga Energy - Lumber St,2222 S Lumber St,2 Blocks East of Cermak and Halsted.,Chicago,IL,60616,,888-656-0141,E,,Private,,,,Q,3600,,,,,,,200-8,41.852403,-87.642494,06/14/2022,06/27/2023 12:55:43 PM +0000,P,,,09/01/2012,,HD,,,"(41.852403, -87.642494)"
146607,ELEC,5252 S CORNELL 5252 APARTMENTS,1600 E 53rd St,,Chicago,IL,60615,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.799683,-87.586296,10/05/2023,10/04/2023 07:19:34 PM +0000,,,,10/04/2019,,,,,"(41.799683, -87.586296)"
