name,address,city,state,zip,country,phone,lat,lng,url
"Golden Glades-Miami Health Center","585 N.W. 161 St. Suites 200-300","Miami","FL","33169","US","305-830-4111","25.922719","-80.2097299","https://www.plannedparenthood.org/health-center/florida/miami/33169/golden-glades-miami-health-center-4183-90320"
"Waukegan Health Center","1601 N Lewis","Waukegan","IL","60085","US","847-672-2237","42.3828215","-87.8545918","https://www.plannedparenthood.org/health-center/illinois/waukegan/60085/waukegan-health-center-2675-90430"
"Frederick Health Center","170 Thomas Johnson Drive","Frederick","MD","21702","US","410-576-1414","39.442189","-77.4056838","https://www.plannedparenthood.org/health-center/maryland/frederick/21702/frederick-health-center-2899-90620"
"Hillman East Portland Center","14601 SE Division Street","Portland","OR","97236","US","888-875-7820","45.5045389","-122.5128968","https://www.plannedparenthood.org/health-center/oregon/portland/97236/hillman-east-portland-center-2673-91400"
"Puyallup Health Center","702-30th Ave SW","Puyallup","WA","98373","US","800-769-0045","47.16273339999999","-122.30144160000002","https://www.plannedparenthood.org/health-center/washington/puyallup/98373/puyallup-health-center-2504-91810"
"Twin Falls Health Center","200 Second Ave N.","Twin Falls","ID","83301","US","800-769-0045","42.5574905","-114.4703831","https://www.plannedparenthood.org/health-center/idaho/twin-falls/83301/twin-falls-health-center-2938-91810"
"West Eugene Health Center","793 N. Danebo Avenue","Eugene","OR","97402","US","541-344-9411","44.0693623","-123.1777214","https://www.plannedparenthood.org/health-center/oregon/eugene/97402/west-eugene-health-center-3069-91380"
"Lubbock Health Center","3716 22nd Place","Lubbock","TX","79410","US","806-696-3436","33.5744609","-101.8960562","https://www.plannedparenthood.org/health-center/texas/lubbock/79410/lubbock-health-center-2674-91620"
"Planned Parenthood Heights","100 West Wicks Lane","Billings","MT","59105","US","406-869-5040","45.8270403","-108.4894492","https://www.plannedparenthood.org/health-center/montana/billings/59105/planned-parenthood-heights-2438-90790"
"S. Mark Taper Foundation Center for Medical Training","400 West 30th Street","Los Angeles","CA","90007","US","800-576-5544","34.0237259","-118.2760168","https://www.plannedparenthood.org/health-center/california/los-angeles/90007/s-mark-taper-foundation-center-for-medical-training-3862-90070"
"Salem Health Center","3825 Wolverine St., NE","Salem","OR","97305","US","888-875-7820","44.95870539999999","-122.9857098","https://www.plannedparenthood.org/health-center/oregon/salem/97305/salem-health-center-2412-91400"
"Boca Raton Health Center","8177 Glades Rd. Bay 25","Boca Raton","FL","33434","US","561-226-4116","26.3694658","-80.172785","https://www.plannedparenthood.org/health-center/florida/boca-raton/33434/boca-raton-health-center-3863-90320"
"Bremerton Health Center","723 NE Riddell Road, Suite A","Bremerton","WA","98310","US","800-769-0045","47.6064348","-122.6371839","https://www.plannedparenthood.org/health-center/washington/bremerton/98310/bremerton-health-center-2461-91810"
"Antelope Valley Health Center","533 E. Palmdale Boulevard, Ste. 533-A1","Palmdale","CA","93550","US","800-576-5544","34.5806561","-118.11974","https://www.plannedparenthood.org/health-center/california/palmdale/93550/antelope-valley-health-center-4054-90070"
"Jackson Health Center","2009 W. Michigan Ave.","Jackson","MI","49202","US","517-784-1700","42.2471375","-84.43854","https://www.plannedparenthood.org/health-center/michigan/jackson/49202/jackson-health-center-2784-90630"
"San Mateo","701 San Mateo NE","Albuquerque","NM","87108","US","505-265-9511","35.0838687","-106.5865123","https://www.plannedparenthood.org/health-center/new-mexico/albuquerque/87108/san-mateo-2956-90210"
"Planned Parenthood Helena","1500 Cannon","Helena","MT","59601","US","406-443-7676","46.6027185","-112.0575946","https://www.plannedparenthood.org/health-center/montana/helena/59601/planned-parenthood-helena-2443-90790"
"Lubbock Abortion Services Center","3716 22nd Place","Lubbock","TX","79410","US","806-696-3440","33.5744609","-101.8960562","https://www.plannedparenthood.org/health-center/texas/lubbock/79410/lubbock-abortion-services-center-3776-91620"
"Jean Shehan Health Center","1378 Coral Way, 4th Fl","Miami","FL","33145","US","305-285-5535","25.7504182","-80.2444331","https://www.plannedparenthood.org/health-center/florida/miami/33145/jean-shehan-health-center-3369-90320"
"Centralia Health Center","1020 W Main Street","Centralia","WA","98531","US","800-769-0045","46.7185763","-122.96647509999998","https://www.plannedparenthood.org/health-center/washington/centralia/98531/centralia-health-center-2453-91810"
"Northwest Health Center","3105 N. 93rd St","Omaha","NE","68134","US","877-811-7526","41.287605","-96.0553591","https://www.plannedparenthood.org/health-center/nebraska/omaha/68134/northwest-health-center-2447-90380"
"Ann Arbor West Health Center","2370 W. Stadium Blvd.","Ann Arbor","MI","48103","US","734-929-9480","42.2776831","-83.7786313","https://www.plannedparenthood.org/health-center/michigan/ann-arbor/48103/ann-arbor-west-health-center-2969-90630"
"New Rochelle Center","150 Lockwood Avenue Suite LL-1","New Rochelle","NY","10801","US","914-632-4442","40.91248470000001","-73.7904856","https://www.plannedparenthood.org/health-center/new-york/new-rochelle/10801/new-rochelle-center-2206-91220"
"Las Vegas East Flamingo","3300 E Flamingo Rd #25","Las Vegas","NV","89121","US","702-547-9888","36.1164387","-115.1028268","https://www.plannedparenthood.org/health-center/nevada/las-vegas/89121/las-vegas-east-flamingo-2306-90210"
"Birmingham Center","1019 1st Avenue N","Birmingham","AL","35203","US","205-322-2121","33.51536289999999","-86.83453829999999","https://www.plannedparenthood.org/health-center/alabama/birmingham/35203/birmingham-center-3253-90330"
"Rosenfield Center","1000 E. Army Post Road","Des Moines","IA","50315","US","877-811-7526","41.5277582","-93.6026648","https://www.plannedparenthood.org/health-center/iowa/des-moines/50315/rosenfield-center-2386-90380"
"Treasure Coast Health Center","1696 SE Hillmoor Dr","Port Saint Lucie","FL","34952","US","772-692-2023","27.2881485","-80.2970112","https://www.plannedparenthood.org/health-center/florida/port-saint-lucie/34952/treasure-coast-health-center-2627-90320"
"Arvada","7735 Wadsworth Boulevard","Arvada","CO","80003","US","303-425-6624","39.8360531","-105.0838158","https://www.plannedparenthood.org/health-center/colorado/arvada/80003/arvada-2487-90210"
"Juneau Health Center","3231 Glacier Hwy.","Juneau","AK","99801","US","800-769-0045","58.3304064","-134.4728734","https://www.plannedparenthood.org/health-center/alaska/juneau/99801/juneau-health-center-3865-91810"
"Bedford Heights Surgery Center","25350 Rockside Rd","Bedford Heights","OH","44146","US","440-232-9732","41.409114","-81.49970599999999","https://www.plannedparenthood.org/health-center/ohio/bedford-heights/44146/bedford-heights-surgery-center-4061-91230"
"Lincoln South Health Center","5631 S. 48th Street","Lincoln","NE","68516","US","877-811-7526","40.7562213","-96.65441119999998","https://www.plannedparenthood.org/health-center/nebraska/lincoln/68516/lincoln-south-health-center-4062-90380"
"White Center Health Center","9942 8th Avenue SW","Seattle","WA","98106","US","800-769-0045","47.5141093","-122.3451512","https://www.plannedparenthood.org/health-center/washington/seattle/98106/white-center-health-center-4161-91810"
"Tallahassee Health Center","2618 W Tennessee Street","Tallahassee","FL","32304","US","850-574-7455","30.4402326","-84.3202462","https://www.plannedparenthood.org/health-center/florida/tallahassee/32304/tallahassee-health-center-2154-90320"
"Honolulu Health Center","839 S Beretania Street","Honolulu","HI","96813","US","800-769-0045","21.30343","-157.85042999999996","https://www.plannedparenthood.org/health-center/hawaii/honolulu/96813/honolulu-health-center-2951-91810"
"East End Health Center","1122 N 25th Street","Richmond","VA","23223","US","804-508-6045","37.5393205","-77.4117881","https://www.plannedparenthood.org/health-center/virginia/richmond/23223/east-end-health-center-2680-91750"
